customer_id,customer_fname,customer_segment,customer_city,customer_state,customer_country
20755,Cally,Consumer,Caguas,PR,Puerto Rico
19492,Irene,Consumer,Caguas,PR,Puerto Rico
19491,Gillian,Consumer,San Jose,CA,EE. UU.
19490,Tana,Home Office,Los Angeles,CA,EE. UU.
19489,Orli,Corporate,Caguas,PR,Puerto Rico
19488,Kimberly,Consumer,Tonawanda,NY,EE. UU.
19487,Constance,Home Office,Caguas,PR,Puerto Rico
19486,Erica,Corporate,Miami,FL,EE. UU.
19485,Nichole,Corporate,Caguas,PR,Puerto Rico
19484,Oprah,Corporate,San Ramon,CA,EE. UU.
19483,Germane,Corporate,Caguas,PR,Puerto Rico
19482,Freya,Consumer,Freeport,NY,EE. UU.
19481,Cassandra,Corporate,Salinas,CA,EE. UU.
19480,Natalie,Corporate,Caguas,PR,Puerto Rico
19479,Kimberley,Corporate,Peabody,MA,EE. UU.
19478,Sade,Corporate,Caguas,PR,Puerto Rico
19477,Brynne,Corporate,Canovanas,PR,Puerto Rico
19476,Ciara,Corporate,Paramount,CA,EE. UU.
19475,Bo,Consumer,Caguas,PR,Puerto Rico
19474,Kim,Consumer,Mount Prospect,IL,EE. UU.
19473,Kellie,Corporate,Long Beach,CA,EE. UU.
19472,Alma,Corporate,Caguas,PR,Puerto Rico
19471,Yeo,Corporate,Rancho Cordova,CA,EE. UU.
19470,Lucy,Corporate,Caguas,PR,Puerto Rico
19469,Simone,Corporate,Billings,MT,EE. UU.
19468,Roary,Corporate,Caguas,PR,Puerto Rico
19467,Quail,Consumer,Wilkes Barre,PA,EE. UU.
19466,Hannah,Corporate,Caguas,PR,Puerto Rico
19465,Evelyn,Corporate,Roseville,MI,EE. UU.
19464,Jael,Consumer,Bellflower,CA,EE. UU.
19463,Teagan,Consumer,Caguas,PR,Puerto Rico
19462,Joan,Consumer,Wheaton,IL,EE. UU.
19461,Basia,Consumer,Caguas,PR,Puerto Rico
19460,Dominique,Consumer,Detroit,MI,EE. UU.
19459,Ainsley,Consumer,Dallas,TX,EE. UU.
19458,Aurora,Corporate,Caguas,PR,Puerto Rico
19457,Libby,Corporate,Carlisle,PA,EE. UU.
19456,Amy,Corporate,Dallas,TX,EE. UU.
19455,Ivory,Consumer,Caguas,PR,Puerto Rico
19454,Karina,Consumer,Newark,DE,EE. UU.
19453,Deanna,Consumer,Panorama City,CA,EE. UU.
19452,Dacey,Home Office,Caguas,PR,Puerto Rico
19451,Adele,Home Office,Atlanta,GA,EE. UU.
19450,Sybill,Home Office,Caguas,PR,Puerto Rico
19449,Kay,Consumer,Fremont,CA,EE. UU.
19448,Stacy,Corporate,Caguas,PR,Puerto Rico
19447,Marah,Corporate,Rochester,NY,EE. UU.
19446,Taylor,Corporate,Dallas,TX,EE. UU.
9083,Mary,Home Office,Bayamon,PR,Puerto Rico
4741,Mary,Home Office,Caguas,PR,Puerto Rico
639,Elizabeth,Home Office,Caguas,PR,Puerto Rico
9702,Katherine,Home Office,Caguas,PR,Puerto Rico
9114,Mary,Home Office,Caguas,PR,Puerto Rico
1362,Dennis,Home Office,Caguas,PR,Puerto Rico
8011,Mary,Home Office,Caguas,PR,Puerto Rico
3296,Mary,Home Office,Caguas,PR,Puerto Rico
3182,Frances,Home Office,Caguas,PR,Puerto Rico
7864,Alice,Home Office,Caguas,PR,Puerto Rico
11169,Kyle,Home Office,Caguas,PR,Puerto Rico
5197,Brenda,Home Office,Caguas,PR,Puerto Rico
1535,Frank,Home Office,Caguas,PR,Puerto Rico
6122,Johnny,Home Office,Caguas,PR,Puerto Rico
9451,Mary,Home Office,Caguas,PR,Puerto Rico
542,Mary,Home Office,Caguas,PR,Puerto Rico
11329,Hannah,Home Office,Caguas,PR,Puerto Rico
3570,Mary,Home Office,Caguas,PR,Puerto Rico
650,Austin,Home Office,Caguas,PR,Puerto Rico
9353,Michael,Home Office,Caguas,PR,Puerto Rico
54,Mary,Home Office,Caguas,PR,Puerto Rico
12151,Vincent,Home Office,Caguas,PR,Puerto Rico
10018,Gregory,Home Office,Caguas,PR,Puerto Rico
4936,Kyle,Home Office,Caguas,PR,Puerto Rico
8707,Lisa,Home Office,Caguas,PR,Puerto Rico
1025,Megan,Home Office,Caguas,PR,Puerto Rico
8831,Mary,Home Office,Caguas,PR,Puerto Rico
10679,Mary,Home Office,Caguas,PR,Puerto Rico
5007,Mary,Home Office,Caguas,PR,Puerto Rico
9854,Mary,Home Office,Caguas,PR,Puerto Rico
376,Grace,Home Office,Caguas,PR,Puerto Rico
5417,Dennis,Home Office,Caguas,PR,Puerto Rico
10759,Douglas,Home Office,Caguas,PR,Puerto Rico
8541,Mary,Home Office,Caguas,PR,Puerto Rico
3752,Mary,Home Office,Caguas,PR,Puerto Rico
4673,Wayne,Home Office,Caguas,PR,Puerto Rico
5367,Mary,Home Office,Caguas,PR,Puerto Rico
10485,Mary,Home Office,Caguas,PR,Puerto Rico
9272,Ronald,Home Office,Caguas,PR,Puerto Rico
647,Mary,Consumer,Caguas,PR,Puerto Rico
6398,Tammy,Consumer,Caguas,PR,Puerto Rico
4209,Mary,Consumer,Caguas,PR,Puerto Rico
8917,Mary,Consumer,Caguas,PR,Puerto Rico
7784,Mary,Consumer,Caguas,PR,Puerto Rico
1425,Christina,Consumer,Caguas,PR,Puerto Rico
2737,Mary,Consumer,Caguas,PR,Puerto Rico
6428,Mary,Consumer,Caguas,PR,Puerto Rico
6543,Alexander,Consumer,Caguas,PR,Puerto Rico
3990,Sandra,Consumer,Guayama,PR,Puerto Rico
8524,Ruth,Consumer,Caguas,PR,Puerto Rico
9204,Mary,Consumer,Caguas,PR,Puerto Rico
11761,Lauren,Consumer,Caguas,PR,Puerto Rico
9554,Mary,Consumer,Caguas,PR,Puerto Rico
5118,Mary,Consumer,Caguas,PR,Puerto Rico
5506,Gregory,Consumer,Caguas,PR,Puerto Rico
1423,Mary,Consumer,Caguas,PR,Puerto Rico
138,Mary,Consumer,Caguas,PR,Puerto Rico
6360,Mary,Consumer,Caguas,PR,Puerto Rico
2053,Ronald,Consumer,Caguas,PR,Puerto Rico
10344,Mary,Consumer,Juana Diaz,PR,Puerto Rico
3375,Mary,Consumer,Caguas,PR,Puerto Rico
1339,Melissa,Consumer,Caguas,PR,Puerto Rico
7247,Mary,Consumer,Caguas,PR,Puerto Rico
1273,Maria,Consumer,Caguas,PR,Puerto Rico
6277,Eugene,Consumer,Caguas,PR,Puerto Rico
7701,James,Consumer,Caguas,PR,Puerto Rico
4126,John,Consumer,Caguas,PR,Puerto Rico
9528,Mary,Consumer,Caguas,PR,Puerto Rico
1853,Mary,Consumer,Caguas,PR,Puerto Rico
11149,Roy,Consumer,Caguas,PR,Puerto Rico
5828,Katherine,Consumer,Caguas,PR,Puerto Rico
6887,Mary,Consumer,Caguas,PR,Puerto Rico
4781,Janet,Consumer,Caguas,PR,Puerto Rico
10668,Mary,Consumer,Caguas,PR,Puerto Rico
5421,Mary,Consumer,Caguas,PR,Puerto Rico
10200,Nicole,Consumer,Caguas,PR,Puerto Rico
11254,Sharon,Consumer,Caguas,PR,Puerto Rico
11106,Mary,Consumer,Caguas,PR,Puerto Rico
8456,Mary,Consumer,Caguas,PR,Puerto Rico
6149,Matthew,Consumer,Caguas,PR,Puerto Rico
1473,Anthony,Consumer,Caguas,PR,Puerto Rico
1840,Jerry,Consumer,Caguas,PR,Puerto Rico
6757,Mary,Consumer,Caguas,PR,Puerto Rico
3972,Laura,Consumer,Caguas,PR,Puerto Rico
9316,Megan,Consumer,Caguas,PR,Puerto Rico
11213,Mary,Consumer,Caguas,PR,Puerto Rico
3474,Jack,Consumer,Caguas,PR,Puerto Rico
14630,Kirestin,Consumer,Caguas,PR,Puerto Rico
13256,Nora,Consumer,Caguas,PR,Puerto Rico
14665,Jennifer,Consumer,Caguas,PR,Puerto Rico
13363,Madonna,Consumer,Caguas,PR,Puerto Rico
14645,Noelani,Consumer,Caguas,PR,Puerto Rico
13163,Sydnee,Consumer,Caguas,PR,Puerto Rico
14553,Willa,Consumer,Caguas,PR,Puerto Rico
14287,Alma,Consumer,Caguas,PR,Puerto Rico
13179,Ila,Consumer,Caguas,PR,Puerto Rico
13035,Belle,Consumer,Caguas,PR,Puerto Rico
14322,Alyssa,Consumer,Caguas,PR,Puerto Rico
13196,Lani,Consumer,Caguas,PR,Puerto Rico
14604,Demetria,Consumer,Caguas,PR,Puerto Rico
12961,Joan,Consumer,Caguas,PR,Puerto Rico
